method,state,metric,n,mean,median,std,sum
ON,benign,total_packets_delta,55,1917.090909,322.000000,7230.512446,105440.000000
ON,benign,forwarded_packets_delta,55,1917.090909,322.000000,7230.512446,105440.000000
ON,benign,dropped_packets_delta,55,0.000000,0.000000,0.000000,0.000000
ON,benign,ctrl_cpu_avg,55,10.559758,4.620000,18.196836,580.786667
ON,attack,total_packets_delta,91,2662.208791,1340.000000,5388.024778,242261.000000
ON,attack,forwarded_packets_delta,91,2314.362637,1097.000000,5393.156177,210607.000000
ON,attack,dropped_packets_delta,91,1078.329670,0.000000,2060.880459,98128.000000
ON,attack,ctrl_cpu_avg,91,20.815018,13.960000,21.471931,1894.166667
OFF,benign,total_packets_delta,57,10876.157895,1796.000000,19278.612894,619941.000000
OFF,benign,forwarded_packets_delta,57,10876.157895,1796.000000,19278.612894,619941.000000
OFF,benign,dropped_packets_delta,57,0.000000,0.000000,0.000000,0.000000
OFF,benign,ctrl_cpu_avg,57,16.827719,10.223333,34.805776,959.180000
OFF,attack,total_packets_delta,91,29304.021978,26973.000000,14836.704827,2666666.000000
OFF,attack,forwarded_packets_delta,91,29304.021978,26973.000000,14836.704827,2666666.000000
OFF,attack,dropped_packets_delta,91,0.000000,0.000000,0.000000,0.000000
OFF,attack,ctrl_cpu_avg,91,25.887582,20.280000,21.027095,2355.770000
